year,Brand,Car_Price,Location,Mileage,Type
2021,Peugeot 2008 2021,"EGP 1,290,000","Smoha, Alexandria•",25000 km,Benzine
2025,مرسيدس بنز إي كيو ايه 260 Mercedes EQA 260 Facelift 2025,"EGP 2,400,000","New Cairo, Cairo•",New,Electric
2015,Toyota Corona 2015,"EGP 900,000","Royal Meadows Compound, Sheikh Zayed•",250000 km,Benzine
2013,Chevrolet Lanos 2013شيفورليه لانوس ٢٠١٣,"EGP 285,000","Ashgar Darna, Zahraa Al Maadi•",199000 km,Benzine
2024,مرسيدس بنز سي 180 2024 Mercedes C180 AMG جديده لم ترخص,"EGP 3,325,000","New Cairo, Cairo•",New,Benzine
2020,ام جى ام جي 5 2020 MG MG 5 2020,"EGP 630,000","New Cairo, Cairo•",110000 km,Benzine
2017,بي ام دبليو إكس 6 2017 BMW X6 2017,"EGP 2,700,000","New Cairo, Cairo•",145000 km,Benzine
2008,Honda Jazz 2008,"EGP 460,000","Heliopolis, Cairo•",171000 km,Benzine
2024,Mercedes-Benz E200 2024,"EGP 5,500,000","Mohandessin, Giza•",New,Benzine
2009,شيفروليه لانوس 2009,"EGP 250,000","Beni Suef City, Beni Suef•",325000 km,Diesel
2022,رينو كادجار 2022,"EGP 1,050,000","Tookh, Qalyubia•",100000 km,Benzine
2023,تيسلا موديل إكس 2023 MODEL X,"EGP 5,500,000","Nasr City, Cairo•",25000 km,Electric
2010,اسبيرانزا A620 2010,"EGP 230,000","Abasiya, Cairo•",198000 km,Benzine
2006,Kia Picanto 2006,"EGP 380,000","Asafra, Alexandria•",200000 km,Benzine
2024,Mercedes Benz GLC 200 Coupe 2024 AMG,"EGP 5,350,000","Heliopolis, Cairo•",New,Benzine
2022,بيجو 3008 2022,"EGP 1,600,000","Fayoum City, Fayoum•",80000 km,Benzine
2008,Speranza A213 2008,"EGP 170,000","Haram, Giza•",211000 km,Benzine
2017,مازدا 2  موديل 2017  أعلى فئة - أوتوماتيك فبريكا,"EGP 630,000","New Cairo, Cairo•",630000 km,Benzine
2007,شانجى ايديل 2007,"EGP 110,000","Degla Gardens, Hadayek October•",55 km,Benzine
2018,Renault Kadjar 2018,"EGP 950,000","Rehab City Compound, New Cairo•",78000 km,Benzine
2020,تويوتا كورولا 2020,"EGP 990,000","Rehab City Compound, New Cairo•",35000 km,Benzine
2013,Mercedes A200  2013,"EGP 950,000","5th Settlement, New Cairo•",350000 km,Benzine
2004,Toyota Corolla 2004,"EGP 450,000","New Cairo, Cairo•",800000 km,Benzine
2009,Infiniti FX35 New Shape,"EGP 895,000","Almazah, Cairo•",154000 km,Benzine
2010,شيفروليه كروز 2010,"EGP 400,000","Qanater al-Khairia, Qalyubia•",220000 km,Natural Gas
2009,سبيرانزا تيجوو 2009,"EGP 390,000","New Nozha, Cairo•",1 km,Benzine
2015,مرسيدس بنز E200 2015 كلاسيك,"EGP 1,965,000","5th Settlement, New Cairo•",81000 km,Benzine
2021,MG RX5 2021,"EGP 865,000","Mohandessin, Giza•",73000 km,Benzine
2014,"Mercedes-Benz S500 V8, 455 Hp!","EGP 4,850,000","5th Settlement, New Cairo•",106000 km,Benzine
2010,Chevrolet Cruze 2010,"EGP 420,000","New Maadi, Maadi•",210000 km,Benzine
2021,تويوتا كورولا 2021 2021,"EGP 1,190,000","Ramses + Ramses Extension, Cairo•",93033 km,Benzine
2025,Mercedes-Benz EQA 260 2025 FWD,"EGP 2,025,000","Cleopatra, Alexandria•",New,Electric
2025,استلام فوري مع الشاذلي 2025 RANGE ROVER VOGUE SV 2025,"EGP 5,500,000","5th Settlement, New Cairo•",New,Benzine
2022,Mrecedes Benz E 300 2022,"EGP 4,000,000","New Cairo, Cairo•",80000 km,Hybrid
2023,Mercedes Benz C180 سعر لقطة,"EGP 3,150,000","Rehab City Compound, New Cairo•",New,Benzine
2008,تويوتا ياريس 2008,"EGP 440,000","Al Amiriyyah, Cairo•",190 km,Benzine
1995,Audi A8 D2,"EGP 875,000","Almazah, Cairo•",49000 km,Benzine
2005,Land Rover Range Rover Sport,"EGP 975,000","Heliopolis, Cairo•",135000 km,Benzine
2018,BMW 740Li Facelift,"EGP 3,750,000","Marriott Residence, Heliopolis•",155000 km,Benzine
2010,شيفروليه أفيو 2010,"EGP 250,000","Shubra al-Khaimah, Qalyubia•",180000 km,Benzine
2013,كيا ريو 2013  الفئة الأولى KIA RIO SEDAN,"EGP 560,000","New Cairo, Cairo•",130000 km,Benzine
2018,ميتسوبيشي لانسر 2018 Mitsubishi Lancer حاله نادره جدا,"EGP 935,000","New Cairo, Cairo•",91000 km,Benzine
2009,سبيرانزا إيه 516 2009,"EGP 250,000","Al Amiriyyah, Cairo•",99 km,Natural Gas
2017,Range Rover Sport SVR,"EGP 5,800,000","Almazah, Cairo•",155000 km,Benzine
2006,Chery A11 2006,"EGP 175,000","3rd District, Sheikh Zayed•",25000 km,Benzine
2021,أوبل كروس لاند 2021 Opel Crossland 2021,"EGP 830,000","New Cairo, Cairo•",120000 km,Benzine
2004,بروتون ويرا 2004,"EGP 240,000","10th of Ramadan, Sharqia•",123450 km,Benzine
2013,Suzuki Maruti 2013,"EGP 175,000","1st Settlement, New Cairo•",227000 km,Benzine
2012,Hyundai I10 2012,"EGP 350,000","Moharam Bik, Alexandria•",32000 km,Benzine
2013,Nissan Juke 2013,"EGP 615,000","Shebin al-Koum, Monufia•",225000 km,Benzine
1997,فيات 128 1997 مالك اول,"EGP 65,000","Moneeb, Giza•",205000 km,Benzine
1999,اوبل فيكتؤا اتوماتيك ممتازه,"EGP 290,000","New Cairo, Cairo•",200000 km,Benzine
2009,بروتون بيرسونا 2009,"EGP 300,000","New Cairo, Cairo•",280 km,Benzine
2016,Nissan Qashqai 2016 Hi Line,"EGP 800,000","Heliopolis, Cairo•",138000 km,Benzine
2022,MG 6 2022,"EGP 975,000","Rehab City Compound, New Cairo•",42000 km,Benzine
2023,Toyota Fortuner 2023 كسر زيرو فابريكا بالكامل,"EGP 3,350,000","New Cairo, Cairo•",19500 km,Benzine
2021,سيتروين سي اليزيه 2021,"EGP 120,000","Abasiya, Cairo•",90000 km,Benzine
